Run,Runtime (s),F1 Score (bipartite contains rule),Precision,Recall,CPU Energy (J),GPU Energy (J),"CPU Power (avg, W)","GPU Power (avg, W)","GPU Power (max, W)","CPU RAM (avg, MB)","GPU VRAM (avg, MB)"
1,3.0054,0.4667,0.7300,0.3430,98.1919,181.8929,32.6723,60.5229,75.0390,6794.84,882.31
2,3.0049,0.4667,0.7300,0.3430,96.8470,210.4280,32.2300,70.0289,76.0060,6852.43,900.31
3,3.0048,0.4667,0.7300,0.3430,98.7208,205.9732,32.8541,68.5475,76.2390,6852.36,900.31
4,3.0054,0.4667,0.7300,0.3430,98.8119,206.8079,32.8786,68.8130,76.5510,6846.97,900.31
5,3.0054,0.4667,0.7300,0.3430,99.9543,207.9990,33.2583,69.2086,76.7260,6850.12,900.31
6,3.0052,0.4667,0.7300,0.3430,99.6788,209.0796,33.1690,69.5730,77.0510,6856.23,900.31
7,3.0052,0.4667,0.7300,0.3430,99.4415,206.5094,33.0897,68.7172,77.3490,6859.77,900.31
8,3.0057,0.4667,0.7300,0.3430,100.0527,210.0912,33.2871,69.8965,77.5050,6861.61,900.31
9,3.0055,0.4667,0.7300,0.3430,100.8532,210.8000,33.5562,70.1381,77.6690,6861.66,900.31
10,3.0055,0.4667,0.7300,0.3430,101.5524,211.7003,33.7892,70.4383,78.0460,6860.12,900.31
Average,3.0053,0.4667,0.7300,0.3430,99.4105,206.1281,33.0784,68.5884,76.8181,6849.61,898.51
