Run,Runtime (s),F1 Score (bipartite contains rule),Precision,Recall,CPU Energy (J),GPU Energy (J),"CPU Power (avg, W)","GPU Power (avg, W)","GPU Power (max, W)","CPU RAM (avg, MB)","GPU VRAM (avg, MB)"
1,4.0054,0.4667,0.7300,0.3430,126.9053,191.0636,31.6833,47.7011,75.1310,6844.11,886.81
2,3.0052,0.4667,0.7300,0.3430,98.6210,188.2355,32.8165,62.6361,76.1880,6899.73,900.31
3,3.0045,0.4667,0.7300,0.3430,99.4079,206.8668,33.0862,68.8519,76.5050,6898.76,900.31
4,3.0054,0.4667,0.7300,0.3430,99.7991,207.9108,33.2069,69.1796,77.0630,6897.76,900.31
5,3.0051,0.4667,0.7300,0.3430,100.2520,208.7492,33.3606,69.4649,77.2100,6893.82,900.31
6,3.0053,0.4667,0.7300,0.3430,101.6476,209.5154,33.8227,69.7151,77.2640,6892.22,900.31
7,3.0056,0.4667,0.7300,0.3430,101.1712,207.4535,33.6604,69.0214,77.6160,6891.83,900.31
8,3.0053,0.4667,0.7300,0.3430,100.6732,210.6359,33.4983,70.0875,77.8800,6892.15,900.31
9,3.0053,0.4667,0.7300,0.3430,102.0136,211.3369,33.9451,70.3225,78.0700,6892.07,900.31
10,3.0054,0.4667,0.7300,0.3430,101.8060,211.3721,33.8744,70.3307,78.2420,6889.67,900.31
Average,3.1053,0.4667,0.7300,0.3430,103.2297,205.3140,33.2954,66.7311,77.1169,6889.21,898.96
