Run,Runtime (s),F1 Score (bipartite contains rule),Precision,Recall,CPU Energy (J),GPU Energy (J),"CPU Power (avg, W)","GPU Power (avg, W)","GPU Power (max, W)","CPU RAM (avg, MB)","GPU VRAM (avg, MB)"
1,2.0031,0.1556,0.9450,0.0848,63.1196,103.5535,31.5109,51.6965,86.0360,7018.51,1009.75
2,2.0028,0.1556,0.9450,0.0848,61.9503,149.5543,30.9325,74.6742,85.3840,7136.29,1043.75
3,2.0040,0.1556,0.9450,0.0848,62.0689,145.1963,30.9726,72.4535,86.4300,7133.12,1043.75
4,2.0037,0.1556,0.9450,0.0848,62.6815,144.5177,31.2826,72.1248,87.1790,7113.96,1043.75
5,2.0034,0.1556,0.9450,0.0848,63.4799,146.2764,31.6867,73.0154,86.3900,7103.04,1043.75
6,2.0040,0.1556,0.9450,0.0848,65.5231,149.0406,32.6969,74.3732,85.3530,7098.11,1043.75
7,2.0032,0.1556,0.9450,0.0848,63.9587,149.7455,31.9284,74.7535,86.9030,7094.44,1043.75
8,2.0028,0.1556,0.9450,0.0848,65.1043,148.6634,32.5073,74.2292,88.1410,7082.77,1043.75
9,2.0038,0.1556,0.9450,0.0848,63.9818,148.0767,31.9299,73.8971,88.1200,7076.95,1043.75
10,2.0027,0.1556,0.9450,0.0848,64.3728,148.3671,32.1429,74.0834,88.3270,7072.21,1043.75
Average,2.0033,0.1556,0.9450,0.0848,63.6241,143.2992,31.7591,71.5301,86.8263,7092.94,1040.35
