Run,Runtime (s),F1 Score (bipartite contains rule),Precision,Recall,CPU Energy (J),GPU Energy (J),"CPU Power (avg, W)","GPU Power (avg, W)","GPU Power (max, W)","CPU RAM (avg, MB)","GPU VRAM (avg, MB)"
1,3.0052,0.1057,0.9714,0.0559,75.2997,112.7250,25.0562,37.5096,84.7150,6969.31,1021.08
2,2.0028,0.1057,0.9714,0.0559,62.6263,119.9668,31.2686,59.8981,86.4020,7036.71,1043.75
3,2.0036,0.1057,0.9714,0.0559,62.8892,147.2495,31.3880,73.4922,87.0540,7038.68,1043.75
4,2.0029,0.1057,0.9714,0.0559,63.0124,149.1787,31.4598,74.4796,86.0930,7039.42,1043.75
5,3.0048,0.1057,0.9714,0.0559,83.8987,154.2792,27.9218,51.3447,85.7240,7049.90,1043.75
6,2.0036,0.1057,0.9714,0.0559,63.4458,122.5185,31.6656,61.1486,87.7640,7054.23,1043.75
7,2.0031,0.1057,0.9714,0.0559,64.1511,149.2305,32.0267,74.5015,88.0090,7057.05,1043.75
8,2.0039,0.1057,0.9714,0.0559,64.1864,151.2606,32.0300,75.4813,87.3430,7059.41,1043.75
9,2.0039,0.1057,0.9714,0.0559,65.4593,152.2642,32.6667,75.9856,88.3660,7058.34,1043.75
10,2.0036,0.1057,0.9714,0.0559,64.8756,152.3441,32.3801,76.0365,87.4600,7058.20,1043.75
Average,2.2037,0.1057,0.9714,0.0559,66.9845,141.1017,30.7863,65.9878,86.8930,7042.12,1041.48
