Run,Runtime (s),F1 Score (bipartite contains rule),Precision,Recall,CPU Energy (J),GPU Energy (J),"CPU Power (avg, W)","GPU Power (avg, W)","GPU Power (max, W)","CPU RAM (avg, MB)","GPU VRAM (avg, MB)"
1,3.0050,0.9415,0.9714,0.9133,101.5901,171.2946,33.8065,57.0023,75.7000,6994.42,1010.42
2,3.0054,0.9415,0.9714,0.9133,101.0783,211.3877,33.6317,70.3348,76.2980,7051.85,1027.75
3,3.0053,0.9415,0.9714,0.9133,103.0575,205.6425,34.2921,68.4270,76.1670,7052.12,1027.75
4,4.0063,0.9415,0.9714,0.9133,128.6751,214.9878,32.1185,53.6630,76.2690,7053.03,1027.75
5,3.0045,0.9415,0.9714,0.9133,101.7488,186.0428,33.8651,61.9208,77.0120,7046.99,1027.75
6,3.0054,0.9415,0.9714,0.9133,102.9759,207.1621,34.2642,68.9311,77.0810,7044.27,1027.75
7,3.0051,0.9415,0.9714,0.9133,103.1009,205.8014,34.3086,68.4840,76.9910,7039.88,1027.75
8,3.0048,0.9415,0.9714,0.9133,103.4964,207.7565,34.4436,69.1412,77.0090,7044.28,1027.75
9,3.0048,0.9415,0.9714,0.9133,103.0996,207.3648,34.3114,69.0107,77.3170,7065.50,1027.75
10,3.0052,0.9415,0.9714,0.9133,102.8872,207.0996,34.2369,68.9148,77.1450,7061.32,1027.75
Average,3.1052,0.9415,0.9714,0.9133,105.1710,202.4540,33.9279,65.5830,76.6989,7045.37,1026.02
