identifier	authors	journal	year	title	text
PMID:0	NA	NA	2001	NA	Phenotypic analysis demonstrates that trio and Abl cooperate in regulating axon outgrowth in the embryonic central nervous system ( CNS ) .
PMID:1	NA	NA	2001	NA	In the cervical enlargement they were located in the middle part of lamina VII and in lamina VIII , accounting for about 25 % of the total labeled neurons .
PMID:2	NA	NA	2001	NA	We measured electromyograms ( EMG ) of the alae nasi to determine the relationship between their activity and timing to contraction of the rib cage muscles and diaphragm during obstructive apnea in nine patients .
PMID:3	NA	NA	2001	NA	A case control study ( 1 : 2 ) of 182 pairs of Hepatitis A was carried out in Weng - ling Zhe - jiang during April 1988 .
PMID:4	NA	NA	2001	NA	In the absence of shock , sepsis , or other identifiable causes of lactic acidosis , the severe anemia ( hemoglobin 1 . 2 g / dl ) appeared to be the primary etiologic factor .
PMID:5	NA	NA	2001	NA	However the precise function of DNA - PK in DNA double - strand break repair is not known .
PMID:6	NA	NA	2001	NA	The COR biosynthetic gene cluster in P . syringae pv . glycinea PG4180 is encoded by a 32 - kb region which contains both the structural and regulatory genes needed for COR synthesis .
PMID:7	NA	NA	2001	NA	Substitution of cholinergic drugs in the treatment of Alzheimer type dementia ( AD / SDAT ) has hitherto not been very successful .
PMID:8	NA	NA	2001	NA	FEurea was also measured during stable graft function , 7 - 14 days prior to allograft dysfunction .
PMID:9	NA	NA	2001	NA	The findings are discussed with reference to possible mechanisms by which parasite development might be controlled .
PMID:10	NA	NA	2001	NA	Interestingly , basal MAPK , but not Raf - 1 , activity was constitutively enhanced in Jak1 - deficient HeLa cells .
PMID:11	NA	NA	2001	NA	On the other hand hypokalemia , induced by diuretics , may also be accompanied by a significant depletion of total body K , bringing about more general consequences .
PMID:12	NA	NA	2001	NA	We present here the complete primary structure of human gp330 , the human variant of the principal kidney autoantigen causing Heymann membranous glomerulonephritis in rats .
PMID:13	NA	NA	2001	NA	A series of deletion mutants was expressed transiently in two human hepatocytes , HepG2 and PLC .
PMID:14	NA	NA	2001	NA	Biol .
PMID:15	NA	NA	2001	NA	Copyright 2000 Academic Press .
PMID:16	NA	NA	2001	NA	No patient demonstrated a decrease in bone marrow fibrosis as determined by serial procollagen ( PC III ) serum level analysis .
PMID:17	NA	NA	2001	NA	In four calves given Haemonchus contortus larvae , the serum pepsinogen concentration rose quickly to reach a mean of 3 . 5 iu tyrosine on day 14 after infection .
PMID:18	NA	NA	2001	NA	The P - ITIM - compelled multi - phosphoprotein complex binds to and activates SHP - 2 , which in turn dephosphorylates SHIP and Shc and probably other substrates .
PMID:19	NA	NA	2001	NA	Paradoxically , loop 3i from the M1Ach - muscarinic receptor also maximally inhibited GnRH agonist - stimulated cAMP accumulation and PRL release by 40 % ( both effects mediated through activation of the Gs protein ) .
PMID:20	NA	NA	2001	NA	Electrophoretic mobility - shift assays with nuclear extracts from COS - 1 cells transfected with expression vectors for SMADs 1 - 5 indicate that SMAD3 forms a complex with a migration similar to that of the endogenous TGF - beta - specific complex observed in fibroblast extracts .
PMID:21	NA	NA	2001	NA	Oligomers corresponding to the region of the mlc - 1 / 3 enhancer , which encompasses this conserved sequence , bound MEF - 2 and competed for its binding to the mck enhancer .
