id	char_start	char_end	label
PMID:0	44	77	DISEASE
PMID:1	4	45	DISEASE
PMID:3	3	18	DISEASE
PMID:6	159	174	DISEASE
PMID:9	72	78	DISEASE
PMID:10	53	58	DISEASE
PMID:10	135	152	DISEASE
PMID:11	129	171	DISEASE
PMID:11	174	179	DISEASE
PMID:13	60	77	DISEASE
PMID:13	199	204	DISEASE
PMID:14	90	100	DISEASE
PMID:15	46	63	DISEASE
PMID:18	131	136	DISEASE
PMID:19	41	87	DISEASE
PMID:20	66	73	DISEASE
PMID:20	82	99	DISEASE
PMID:23	12	29	DISEASE
PMID:24	37	55	DISEASE
PMID:24	86	114	DISEASE
PMID:25	30	47	DISEASE
PMID:25	126	143	DISEASE
PMID:26	16	34	DISEASE
PMID:27	23	41	DISEASE
PMID:27	44	46	DISEASE
PMID:27	124	126	DISEASE
PMID:28	75	92	DISEASE
PMID:28	160	181	DISEASE
PMID:29	74	76	DISEASE
PMID:29	90	92	DISEASE
PMID:31	99	101	DISEASE
PMID:33	66	83	DISEASE
PMID:33	87	89	DISEASE
PMID:34	0	58	DISEASE
PMID:34	85	123	DISEASE
PMID:35	60	93	DISEASE
PMID:35	111	135	DISEASE
PMID:35	140	149	DISEASE
PMID:38	4	28	DISEASE
PMID:40	0	22	DISEASE
PMID:40	86	110	DISEASE
PMID:40	115	124	DISEASE
PMID:41	104	117	DISEASE
PMID:42	42	55	DISEASE
PMID:42	178	209	DISEASE
PMID:43	23	29	DISEASE
PMID:43	47	74	DISEASE
PMID:44	63	69	DISEASE
PMID:44	90	117	DISEASE
PMID:44	120	123	DISEASE
PMID:45	77	80	DISEASE
PMID:46	52	55	DISEASE
PMID:48	38	44	DISEASE
PMID:49	51	57	DISEASE
PMID:49	91	94	DISEASE
PMID:49	208	231	DISEASE
PMID:50	43	63	DISEASE
PMID:51	4	10	DISEASE
PMID:51	87	93	DISEASE
PMID:52	53	59	DISEASE
PMID:52	73	96	DISEASE
PMID:52	165	168	DISEASE
PMID:53	40	82	DISEASE
PMID:54	0	50	DISEASE
PMID:54	57	84	DISEASE
PMID:55	60	74	DISEASE
PMID:55	143	160	DISEASE
PMID:57	58	61	DISEASE
PMID:58	56	76	DISEASE
PMID:58	79	96	DISEASE
PMID:58	101	119	DISEASE
PMID:60	86	108	DISEASE
PMID:60	138	152	DISEASE
PMID:61	103	141	DISEASE
PMID:61	201	205	DISEASE
PMID:62	0	38	DISEASE
PMID:62	41	45	DISEASE
PMID:62	63	92	DISEASE
PMID:63	39	43	DISEASE
PMID:72	128	141	DISEASE
PMID:72	190	219	DISEASE
PMID:73	60	83	DISEASE
PMID:73	88	105	DISEASE
PMID:74	107	130	DISEASE
PMID:75	0	23	DISEASE
PMID:75	92	106	DISEASE
PMID:76	30	53	DISEASE
PMID:77	41	55	DISEASE
PMID:77	155	169	DISEASE
PMID:80	80	109	DISEASE
PMID:80	147	161	DISEASE
PMID:80	198	215	DISEASE
PMID:81	65	88	DISEASE
PMID:82	38	53	DISEASE
PMID:83	82	110	DISEASE
PMID:83	202	219	DISEASE
PMID:84	82	112	DISEASE
PMID:85	69	93	DISEASE
PMID:85	97	119	DISEASE
PMID:86	4	15	DISEASE
PMID:86	91	106	DISEASE
PMID:86	129	139	DISEASE
PMID:86	142	153	DISEASE
PMID:86	156	168	DISEASE
PMID:86	171	180	DISEASE
PMID:86	187	200	DISEASE
PMID:86	207	220	DISEASE
PMID:86	223	241	DISEASE
PMID:87	74	96	DISEASE
PMID:87	99	102	DISEASE
PMID:88	0	3	DISEASE
PMID:88	51	62	DISEASE
PMID:88	73	92	DISEASE
PMID:88	98	119	DISEASE
PMID:88	131	142	DISEASE
PMID:88	145	147	DISEASE
PMID:89	0	3	DISEASE
PMID:90	125	144	DISEASE
PMID:90	163	166	DISEASE
PMID:91	0	20	DISEASE
PMID:91	70	81	DISEASE
PMID:91	197	212	DISEASE
PMID:91	217	236	DISEASE
PMID:92	124	126	DISEASE
PMID:94	58	84	DISEASE
PMID:95	0	26	DISEASE
PMID:95	29	31	DISEASE
PMID:95	46	74	DISEASE
PMID:96	57	59	DISEASE
PMID:100	68	91	DISEASE
PMID:104	79	99	DISEASE
PMID:105	71	91	DISEASE
PMID:105	94	97	DISEASE
PMID:106	97	120	DISEASE
PMID:106	154	157	DISEASE
PMID:107	42	45	DISEASE
PMID:109	33	57	DISEASE
PMID:110	47	67	DISEASE
PMID:112	76	102	DISEASE
PMID:115	46	68	DISEASE
PMID:116	80	102	DISEASE
PMID:116	136	144	DISEASE
PMID:118	88	96	DISEASE
PMID:118	121	147	DISEASE
PMID:119	26	29	DISEASE
PMID:119	45	75	DISEASE
PMID:120	102	132	DISEASE
PMID:120	135	138	DISEASE
PMID:120	172	198	DISEASE
PMID:120	201	204	DISEASE
PMID:124	135	138	DISEASE
PMID:126	54	57	DISEASE
PMID:126	89	92	DISEASE
PMID:128	195	198	DISEASE
PMID:128	207	210	DISEASE
PMID:129	26	39	DISEASE
PMID:130	0	53	DISEASE
PMID:130	80	101	DISEASE
PMID:131	29	42	DISEASE
PMID:131	180	193	DISEASE
PMID:138	48	61	DISEASE
PMID:139	4	30	DISEASE
PMID:140	54	81	DISEASE
PMID:140	82	108	DISEASE
PMID:175	172	198	DISEASE
PMID:176	34	62	DISEASE
PMID:177	0	28	DISEASE
PMID:177	31	34	DISEASE
PMID:177	42	60	DISEASE
PMID:177	101	110	DISEASE
PMID:177	114	123	DISEASE
PMID:178	4	7	DISEASE
PMID:182	270	273	DISEASE
PMID:185	147	150	DISEASE
PMID:187	0	39	DISEASE
PMID:188	0	39	DISEASE
PMID:188	42	46	DISEASE
PMID:188	54	116	DISEASE
PMID:190	41	45	DISEASE
PMID:194	60	64	DISEASE
PMID:196	10	14	DISEASE
PMID:197	102	106	DISEASE
PMID:198	12	16	DISEASE
PMID:199	101	105	DISEASE
PMID:200	23	38	DISEASE
PMID:201	0	23	DISEASE
PMID:201	26	28	DISEASE
PMID:202	35	37	DISEASE
PMID:203	19	21	DISEASE
PMID:211	42	61	DISEASE
PMID:211	100	117	DISEASE
PMID:211	126	132	DISEASE
PMID:213	182	197	DISEASE
PMID:224	38	50	DISEASE
PMID:225	0	12	DISEASE
PMID:225	15	18	DISEASE
PMID:225	26	52	DISEASE
PMID:230	0	28	DISEASE
PMID:230	45	73	DISEASE
PMID:230	87	90	DISEASE
PMID:231	0	28	DISEASE
PMID:231	31	34	DISEASE
PMID:231	72	93	DISEASE
PMID:232	14	56	DISEASE
PMID:232	62	65	DISEASE
PMID:232	129	145	DISEASE
PMID:233	46	49	DISEASE
PMID:233	90	106	DISEASE
PMID:233	140	182	DISEASE
PMID:233	188	191	DISEASE
PMID:235	70	112	DISEASE
PMID:236	96	127	DISEASE
PMID:237	11	42	DISEASE
PMID:237	45	48	DISEASE
PMID:237	57	74	DISEASE
PMID:237	104	126	DISEASE
PMID:237	158	179	DISEASE
PMID:238	20	23	DISEASE
PMID:238	57	79	DISEASE
PMID:238	95	119	DISEASE
PMID:239	14	26	DISEASE
PMID:239	66	88	DISEASE
PMID:240	26	47	DISEASE
PMID:240	52	67	DISEASE
PMID:242	71	74	DISEASE
PMID:243	51	73	DISEASE
PMID:243	107	119	DISEASE
PMID:243	142	163	DISEASE
PMID:244	81	84	DISEASE
PMID:245	42	54	DISEASE
PMID:246	157	160	DISEASE
PMID:252	86	89	DISEASE
PMID:252	204	207	DISEASE
PMID:253	15	26	DISEASE
PMID:256	137	143	DISEASE
PMID:257	5	18	DISEASE
PMID:257	61	87	DISEASE
PMID:257	90	93	DISEASE
PMID:257	200	228	DISEASE
PMID:258	115	127	DISEASE
PMID:258	139	153	DISEASE
PMID:259	129	143	DISEASE
PMID:260	69	80	DISEASE
PMID:261	41	47	DISEASE
PMID:261	92	106	DISEASE
PMID:262	23	30	DISEASE
PMID:263	71	78	DISEASE
PMID:264	4	20	DISEASE
PMID:265	0	16	DISEASE
PMID:265	44	62	DISEASE
PMID:265	95	121	DISEASE
PMID:265	126	132	DISEASE
PMID:266	62	78	DISEASE
PMID:266	81	84	DISEASE
PMID:268	190	211	DISEASE
PMID:268	309	316	DISEASE
PMID:272	182	198	DISEASE
PMID:273	30	45	DISEASE
PMID:273	103	118	DISEASE
PMID:274	0	26	DISEASE
PMID:274	29	31	DISEASE
PMID:274	46	82	DISEASE
PMID:275	74	76	DISEASE
PMID:276	82	84	DISEASE
PMID:276	205	207	DISEASE
PMID:278	82	97	DISEASE
PMID:278	199	201	DISEASE
PMID:281	7	9	DISEASE
PMID:282	30	32	DISEASE
PMID:282	117	132	DISEASE
PMID:283	61	75	DISEASE
PMID:284	80	93	DISEASE
PMID:284	154	168	DISEASE
PMID:285	114	128	DISEASE
PMID:286	37	51	DISEASE
PMID:287	22	36	DISEASE
PMID:289	38	62	DISEASE
PMID:290	148	154	DISEASE
PMID:291	86	92	DISEASE
PMID:292	109	123	DISEASE
PMID:292	174	188	DISEASE
PMID:293	118	132	DISEASE
PMID:294	71	110	DISEASE
PMID:294	113	120	DISEASE
PMID:295	0	17	DISEASE
PMID:295	80	100	DISEASE
PMID:295	137	157	DISEASE
PMID:295	158	189	DISEASE
PMID:295	192	199	DISEASE
PMID:297	184	191	DISEASE
PMID:301	69	76	DISEASE
PMID:303	32	37	DISEASE
PMID:303	74	100	DISEASE
PMID:306	83	108	DISEASE
PMID:307	142	152	DISEASE
PMID:309	69	118	DISEASE
PMID:310	93	132	DISEASE
PMID:310	135	139	DISEASE
PMID:311	112	116	DISEASE
PMID:312	66	70	DISEASE
PMID:313	59	63	DISEASE
PMID:314	12	24	DISEASE
PMID:314	27	30	DISEASE
PMID:315	24	36	DISEASE
PMID:315	39	42	DISEASE
PMID:316	73	76	DISEASE
PMID:317	131	134	DISEASE
PMID:317	283	286	DISEASE
PMID:321	0	13	DISEASE
PMID:322	0	13	DISEASE
PMID:322	16	18	DISEASE
PMID:322	23	54	DISEASE
PMID:322	63	118	DISEASE
PMID:324	44	57	DISEASE
PMID:324	60	82	DISEASE
PMID:324	85	98	DISEASE
PMID:324	105	140	DISEASE
PMID:325	23	55	DISEASE
PMID:326	141	165	DISEASE
PMID:326	217	219	DISEASE
PMID:330	44	74	DISEASE
PMID:331	15	45	DISEASE
PMID:335	82	110	DISEASE
PMID:336	115	145	DISEASE
PMID:337	20	46	DISEASE
PMID:337	49	52	DISEASE
PMID:338	14	26	DISEASE
PMID:338	29	32	DISEASE
PMID:338	70	73	DISEASE
PMID:338	100	119	DISEASE
PMID:338	135	145	DISEASE
PMID:339	74	77	DISEASE
PMID:340	58	61	DISEASE
PMID:340	109	112	DISEASE
PMID:340	173	176	DISEASE
PMID:341	8	11	DISEASE
PMID:342	74	77	DISEASE
PMID:342	115	124	DISEASE
PMID:343	12	15	DISEASE
PMID:343	111	114	DISEASE
PMID:344	21	24	DISEASE
PMID:344	64	84	DISEASE
PMID:344	147	150	DISEASE
PMID:345	90	93	DISEASE
PMID:345	129	145	DISEASE
PMID:347	110	135	DISEASE
PMID:354	0	40	DISEASE
PMID:355	69	104	DISEASE
PMID:356	147	160	DISEASE
PMID:360	81	127	DISEASE
PMID:361	0	35	DISEASE
PMID:361	38	42	DISEASE
PMID:361	51	90	DISEASE
PMID:361	114	169	DISEASE
PMID:361	191	205	DISEASE
PMID:361	210	218	DISEASE
PMID:361	225	239	DISEASE
PMID:361	256	282	DISEASE
PMID:363	73	77	DISEASE
PMID:364	110	114	DISEASE
PMID:367	29	33	DISEASE
PMID:367	130	148	DISEASE
PMID:367	151	169	DISEASE
PMID:367	172	191	DISEASE
PMID:367	196	215	DISEASE
PMID:367	269	288	DISEASE
PMID:368	118	122	DISEASE
PMID:370	60	82	DISEASE
PMID:371	0	22	DISEASE
PMID:371	25	28	DISEASE
PMID:371	37	64	DISEASE
PMID:371	76	85	DISEASE
PMID:371	95	107	DISEASE
PMID:371	112	120	DISEASE
PMID:373	11	29	DISEASE
PMID:373	34	42	DISEASE
PMID:373	72	92	DISEASE
PMID:374	24	27	DISEASE
PMID:374	76	79	DISEASE
PMID:377	114	117	DISEASE
PMID:380	45	72	DISEASE
PMID:380	93	132	DISEASE
PMID:380	152	185	DISEASE
PMID:381	24	47	DISEASE
PMID:382	161	184	DISEASE
PMID:382	187	189	DISEASE
PMID:387	55	57	DISEASE
PMID:389	49	85	DISEASE
PMID:390	107	143	DISEASE
PMID:390	146	149	DISEASE
PMID:391	54	57	DISEASE
PMID:396	147	180	DISEASE
PMID:396	183	186	DISEASE
PMID:397	0	41	DISEASE
PMID:397	63	85	DISEASE
PMID:398	0	22	DISEASE
PMID:398	25	28	DISEASE
PMID:398	36	62	DISEASE
PMID:398	73	110	DISEASE
PMID:399	32	50	DISEASE
PMID:401	35	38	DISEASE
PMID:402	86	100	DISEASE
PMID:404	61	88	DISEASE
PMID:405	35	55	DISEASE
PMID:405	58	65	DISEASE
PMID:405	106	124	DISEASE
PMID:406	0	21	DISEASE
PMID:406	24	34	DISEASE
PMID:406	41	61	DISEASE
PMID:406	84	87	DISEASE
PMID:407	6	26	DISEASE
PMID:407	67	109	DISEASE
PMID:409	45	48	DISEASE
PMID:409	58	73	DISEASE
PMID:410	29	47	DISEASE
PMID:410	51	54	DISEASE
PMID:411	58	71	DISEASE
PMID:412	4	38	DISEASE
PMID:412	41	45	DISEASE
PMID:412	54	73	DISEASE
PMID:412	97	149	DISEASE
PMID:415	65	69	DISEASE
PMID:421	67	80	DISEASE
PMID:422	47	75	DISEASE
PMID:423	0	28	DISEASE
PMID:423	31	34	DISEASE
PMID:423	42	72	DISEASE
PMID:424	151	171	DISEASE
PMID:425	0	17	DISEASE
PMID:425	81	84	DISEASE
PMID:426	102	105	DISEASE
PMID:427	104	107	DISEASE
PMID:427	128	131	DISEASE
PMID:429	85	102	DISEASE
PMID:429	107	116	DISEASE
PMID:431	21	39	DISEASE
PMID:432	81	99	DISEASE
PMID:434	127	145	DISEASE
PMID:436	70	88	DISEASE
PMID:437	165	174	DISEASE
PMID:438	93	102	DISEASE
PMID:439	0	17	DISEASE
PMID:440	97	114	DISEASE
PMID:441	51	60	DISEASE
PMID:442	25	51	DISEASE
PMID:442	149	164	DISEASE
PMID:443	0	15	DISEASE
PMID:444	146	161	DISEASE
PMID:445	98	124	DISEASE
PMID:445	127	130	DISEASE
PMID:453	97	112	DISEASE
PMID:454	26	57	DISEASE
PMID:454	79	104	DISEASE
PMID:455	106	131	DISEASE
PMID:455	137	183	DISEASE
PMID:455	194	225	DISEASE
PMID:462	101	108	DISEASE
PMID:463	29	52	DISEASE
PMID:464	86	114	DISEASE
PMID:464	119	135	DISEASE
PMID:465	6	34	DISEASE
PMID:465	37	55	DISEASE
PMID:465	58	74	DISEASE
PMID:465	79	110	DISEASE
PMID:465	113	130	DISEASE
PMID:465	133	137	DISEASE
PMID:465	140	143	DISEASE
PMID:466	0	4	DISEASE
PMID:466	7	10	DISEASE
PMID:467	150	154	DISEASE
PMID:467	157	160	DISEASE
PMID:468	5	9	DISEASE
PMID:468	12	15	DISEASE
PMID:471	93	97	DISEASE
PMID:471	100	103	DISEASE
PMID:472	138	142	DISEASE
PMID:472	145	148	DISEASE
PMID:473	171	199	DISEASE
PMID:475	115	129	DISEASE
PMID:477	103	129	DISEASE
PMID:478	72	105	DISEASE
PMID:478	106	136	DISEASE
PMID:478	139	165	DISEASE
PMID:478	170	207	DISEASE
PMID:485	0	64	DISEASE
PMID:486	0	44	DISEASE
PMID:486	51	78	DISEASE
PMID:486	124	163	DISEASE
PMID:487	170	185	DISEASE
PMID:488	122	157	DISEASE
PMID:492	209	233	DISEASE
PMID:494	68	139	DISEASE
PMID:494	174	209	DISEASE
PMID:495	21	44	DISEASE
PMID:496	64	83	DISEASE
PMID:502	128	163	DISEASE
PMID:503	27	53	DISEASE
PMID:504	69	84	DISEASE
PMID:507	78	104	DISEASE
PMID:514	33	79	DISEASE
PMID:515	57	92	DISEASE
PMID:515	95	98	DISEASE
PMID:515	221	235	DISEASE
PMID:521	65	83	DISEASE
PMID:521	88	103	DISEASE
PMID:523	30	76	DISEASE
PMID:524	0	46	DISEASE
PMID:524	49	53	DISEASE
PMID:524	77	106	DISEASE
PMID:525	149	167	DISEASE
PMID:525	179	193	DISEASE
PMID:527	187	222	DISEASE
PMID:528	63	78	DISEASE
PMID:529	45	69	DISEASE
PMID:529	182	197	DISEASE
PMID:530	122	137	DISEASE
PMID:531	109	124	DISEASE
PMID:532	89	104	DISEASE
PMID:534	69	84	DISEASE
PMID:535	35	61	DISEASE
PMID:535	131	146	DISEASE
PMID:536	63	77	DISEASE
PMID:537	0	14	DISEASE
PMID:537	25	53	DISEASE
PMID:538	64	69	DISEASE
PMID:538	99	125	DISEASE
PMID:539	99	108	DISEASE
PMID:539	139	153	DISEASE
PMID:541	90	95	DISEASE
PMID:541	127	153	DISEASE
PMID:541	257	272	DISEASE
PMID:542	105	110	DISEASE
PMID:543	108	122	DISEASE
PMID:543	230	235	DISEASE
PMID:545	89	120	DISEASE
PMID:546	0	31	DISEASE
PMID:546	66	69	DISEASE
PMID:546	72	98	DISEASE
PMID:546	101	104	DISEASE
PMID:546	150	164	DISEASE
PMID:550	168	171	DISEASE
PMID:550	174	177	DISEASE
PMID:551	37	53	DISEASE
PMID:552	0	16	DISEASE
PMID:552	44	62	DISEASE
PMID:552	82	104	DISEASE
PMID:552	121	146	DISEASE
PMID:553	39	42	DISEASE
PMID:553	125	139	DISEASE
PMID:553	144	169	DISEASE
PMID:556	56	72	DISEASE
PMID:558	61	77	DISEASE
PMID:559	0	16	DISEASE
PMID:559	40	62	DISEASE
PMID:559	106	120	DISEASE
PMID:559	123	141	DISEASE
PMID:559	151	157	DISEASE
PMID:559	164	176	DISEASE
PMID:560	157	173	DISEASE
PMID:563	86	102	DISEASE
PMID:564	109	125	DISEASE
PMID:567	24	40	DISEASE
PMID:567	213	229	DISEASE
PMID:568	0	22	DISEASE
PMID:569	0	22	DISEASE
PMID:584	134	146	DISEASE
PMID:586	17	20	DISEASE
PMID:586	29	58	DISEASE
PMID:586	93	96	DISEASE
PMID:586	120	123	DISEASE
PMID:587	37	56	DISEASE
PMID:587	59	62	DISEASE
PMID:587	116	137	DISEASE
PMID:587	159	168	DISEASE
PMID:591	0	3	DISEASE
PMID:591	37	70	DISEASE
PMID:591	73	76	DISEASE
PMID:592	56	59	DISEASE
PMID:594	41	44	DISEASE
PMID:594	74	86	DISEASE
PMID:596	35	38	DISEASE
PMID:596	42	45	DISEASE
PMID:597	12	15	DISEASE
PMID:597	46	49	DISEASE
PMID:598	78	81	DISEASE
PMID:598	85	88	DISEASE
PMID:599	38	64	DISEASE
PMID:602	0	26	DISEASE
PMID:602	29	32	DISEASE
PMID:602	41	59	DISEASE
PMID:603	154	182	DISEASE
PMID:603	188	204	DISEASE
PMID:604	25	28	DISEASE
PMID:604	99	127	DISEASE
PMID:605	75	78	DISEASE
PMID:606	78	81	DISEASE
PMID:606	123	150	DISEASE
PMID:608	61	91	DISEASE
PMID:609	33	61	DISEASE
PMID:610	0	30	DISEASE
PMID:610	33	36	DISEASE
PMID:610	45	91	DISEASE
PMID:611	53	56	DISEASE
PMID:618	27	64	DISEASE
PMID:619	0	23	DISEASE
PMID:619	26	29	DISEASE
PMID:619	36	53	DISEASE
PMID:619	56	58	DISEASE
PMID:619	74	99	DISEASE
PMID:626	12	15	DISEASE
PMID:626	18	20	DISEASE
PMID:629	50	72	DISEASE
PMID:629	126	138	DISEASE
PMID:630	0	22	DISEASE
PMID:630	25	28	DISEASE
PMID:630	90	128	DISEASE
PMID:630	131	149	DISEASE
PMID:630	152	158	DISEASE
PMID:630	163	175	DISEASE
PMID:630	178	180	DISEASE
PMID:630	185	196	DISEASE
PMID:630	203	213	DISEASE
PMID:630	216	217	DISEASE
PMID:631	18	21	DISEASE
PMID:632	23	29	DISEASE
PMID:632	34	36	DISEASE
PMID:632	96	98	DISEASE
PMID:632	122	125	DISEASE
PMID:632	165	171	DISEASE
PMID:633	95	98	DISEASE
PMID:633	146	148	DISEASE
PMID:633	219	222	DISEASE
PMID:636	22	25	DISEASE
PMID:636	74	76	DISEASE
PMID:637	41	44	DISEASE
PMID:639	13	36	DISEASE
PMID:641	68	73	DISEASE
PMID:649	35	50	DISEASE
PMID:650	76	91	DISEASE
PMID:651	41	57	DISEASE
PMID:651	60	76	DISEASE
PMID:651	127	141	DISEASE
PMID:654	99	105	DISEASE
PMID:656	16	21	DISEASE
PMID:656	52	87	DISEASE
PMID:659	125	138	DISEASE
PMID:662	96	132	DISEASE
PMID:662	151	175	DISEASE
PMID:663	139	163	DISEASE
PMID:663	166	169	DISEASE
PMID:664	52	73	DISEASE
PMID:664	98	110	DISEASE
PMID:666	152	155	DISEASE
PMID:666	167	170	DISEASE
PMID:666	178	181	DISEASE
PMID:666	188	214	DISEASE
PMID:666	217	220	DISEASE
PMID:672	10	25	DISEASE
PMID:672	48	51	DISEASE
PMID:672	83	86	DISEASE
PMID:672	106	109	DISEASE
PMID:672	168	171	DISEASE
PMID:672	196	199	DISEASE
PMID:672	246	249	DISEASE
PMID:673	21	24	DISEASE
PMID:675	30	33	DISEASE
PMID:676	40	64	DISEASE
PMID:677	69	72	DISEASE
PMID:678	223	226	DISEASE
PMID:679	0	20	DISEASE
PMID:679	36	66	DISEASE
PMID:680	86	106	DISEASE
PMID:680	159	189	DISEASE
PMID:680	192	195	DISEASE
PMID:681	17	43	DISEASE
PMID:684	17	37	DISEASE
PMID:684	88	91	DISEASE
PMID:684	149	167	DISEASE
PMID:685	78	115	DISEASE
PMID:686	0	23	DISEASE
PMID:686	26	29	DISEASE
PMID:686	36	53	DISEASE
PMID:686	56	58	DISEASE
PMID:688	187	190	DISEASE
PMID:688	195	197	DISEASE
PMID:689	191	194	DISEASE
PMID:689	197	199	DISEASE
PMID:690	115	118	DISEASE
PMID:690	123	125	DISEASE
