Run,Runtime (s),F1 Score,Precision,Recall,CPU Energy (J),GPU Energy (J),"CPU Power (avg, W)","GPU Power (avg, W)","GPU Power (max, W)","CPU RAM (avg, MB)","GPU VRAM (avg, MB)"
1,1.0025,0.4774,0.4402,0.5214,32.8102,2.5180,32.7277,2.5117,24.7070,12180.4844,263.44
2,1.0023,0.4774,0.4402,0.5214,13.5171,2.0234,13.4858,2.0187,20.9540,12180.2109,263.44
3,1.0025,0.4774,0.4402,0.5214,13.4583,2.0104,13.4247,2.0053,21.0710,12173.9023,263.44
4,1.0026,0.4774,0.4402,0.5214,13.6787,1.9987,13.6428,1.9935,21.0910,12166.0859,263.44
5,1.0022,0.4774,0.4402,0.5214,13.7753,1.9816,13.7445,1.9772,21.1080,12157.7930,263.44
6,1.0025,0.4774,0.4402,0.5214,13.5227,2.0571,13.4889,2.0519,21.1120,12149.2227,263.44
7,1.0026,0.4774,0.4402,0.5214,13.7747,2.0227,13.7395,2.0175,21.1330,12138.2773,263.44
8,1.0016,0.4774,0.4402,0.5214,13.5464,2.0525,13.5249,2.0492,21.1420,12131.9258,263.44
9,1.0026,0.4774,0.4402,0.5214,13.9508,2.0326,13.9151,2.0274,21.1480,12112.4180,263.44
10,1.0027,0.4774,0.4402,0.5214,14.2150,2.0069,14.1766,2.0015,21.1660,12104.3398,263.44
Average,1.0024,0.4774,0.4402,0.5214,15.6249,2.0704,15.5871,2.0654,21.4632,12149.47,263.44
