Run,Runtime (s),F1 Score,Precision,Recall,CPU Energy (J),GPU Energy (J),"CPU Power (avg, W)","GPU Power (avg, W)","GPU Power (max, W)","CPU RAM (avg, MB)","GPU VRAM (avg, MB)"
1,2.0040,0.1514,0.0906,0.4597,70.0829,32.0516,34.9711,15.9937,25.2170,16609.1699,263.44
2,2.0040,0.1514,0.0906,0.4597,39.9622,42.6484,19.9416,21.2820,21.6110,16637.6914,263.44
3,2.0039,0.1514,0.0906,0.4597,39.6596,36.7957,19.7909,18.3618,21.6160,16648.4414,263.44
4,3.0060,0.1514,0.0906,0.4597,41.2047,46.3936,13.7074,15.4336,21.6410,16623.5846,263.44
5,2.0039,0.1514,0.0906,0.4597,42.6937,5.5605,21.3058,2.7749,4.9390,16648.9219,263.44
6,2.0040,0.1514,0.0906,0.4597,46.7384,5.4499,23.3224,2.7195,4.5360,16668.4355,263.44
7,2.0035,0.1514,0.0906,0.4597,47.7448,5.5529,23.8312,2.7716,4.1890,16662.5449,263.44
8,2.0040,0.1514,0.0906,0.4597,47.2079,5.6400,23.5566,2.8144,4.1930,16687.7441,263.44
9,2.0035,0.1514,0.0906,0.4597,46.8175,5.3524,23.3679,2.6715,4.1500,16666.4180,263.44
10,2.0038,0.1514,0.0906,0.4597,46.7797,5.3040,23.3450,2.6469,4.0640,16662.4941,263.44
Average,2.1041,0.1514,0.0906,0.4597,46.8891,19.0749,22.7140,8.7470,11.6156,16651.54,263.44
