Run,Runtime (s),F1 Score,Precision,Recall,CPU Energy (J),GPU Energy (J),"CPU Power (avg, W)","GPU Power (avg, W)","GPU Power (max, W)","CPU RAM (avg, MB)","GPU VRAM (avg, MB)"
1,1.0022,0.4457,0.3282,0.6942,46.1754,37.3554,46.0749,37.2741,501.1970,11644.4453,263.44
2,1.0019,0.4457,0.3282,0.6942,21.9446,2.3707,21.9029,2.3661,21.7670,11636.0000,263.44
3,1.0030,0.4457,0.3282,0.6942,15.0272,2.6470,14.9825,2.6391,21.7310,11628.2852,263.44
4,1.0023,0.4457,0.3282,0.6942,16.6092,3.1856,16.5714,3.1784,21.7080,11619.7344,263.44
5,1.0029,0.4457,0.3282,0.6942,18.7987,7.0729,18.7439,7.0523,21.7190,11612.4492,263.44
6,1.0028,0.4457,0.3282,0.6942,13.2303,2.2470,13.1939,2.2408,21.7330,11601.0977,263.44
7,1.0024,0.4457,0.3282,0.6942,13.4919,2.1997,13.4603,2.1946,21.7210,11594.5938,263.44
8,1.0025,0.4457,0.3282,0.6942,13.0755,2.5816,13.0424,2.5751,21.7380,11586.4844,263.44
9,1.0023,0.4457,0.3282,0.6942,13.2332,2.2268,13.2033,2.2217,21.7360,11579.3086,263.44
10,1.0026,0.4457,0.3282,0.6942,13.1931,2.2637,13.1584,2.2577,21.7350,11573.2227,263.44
Average,1.0025,0.4457,0.3282,0.6942,18.4779,6.4150,18.4334,6.4000,69.6785,11607.56,263.44
