Run,Runtime (s),F1 Score (bipartite contains rule),Precision,Recall,CPU Energy (J),GPU Energy (J),"CPU Power (avg, W)","GPU Power (avg, W)","GPU Power (max, W)","CPU RAM (avg, MB)","GPU VRAM (avg, MB)"
1,7.0079,0.8462,0.8552,0.8373,204.9658,313.5261,29.2477,44.7388,52.8170,7186.30,897.17
2,7.0079,0.8462,0.8552,0.8373,202.9559,322.6556,28.9610,46.0416,51.9700,7112.19,904.31
3,7.0083,0.8462,0.8552,0.8373,203.3761,317.8404,29.0192,45.3518,52.8170,7099.99,904.31
4,7.0079,0.8462,0.8552,0.8373,207.8435,330.1749,29.6586,47.1149,53.1960,7088.52,904.31
5,12.0137,0.8462,0.8552,0.8373,338.4524,415.5620,28.1723,34.5908,53.4350,7086.51,904.31
6,8.0104,0.8462,0.8552,0.8373,242.0535,363.2059,30.2176,45.3421,53.6690,7082.51,904.31
7,11.0127,0.8462,0.8552,0.8373,315.8770,410.6195,28.6829,37.2859,53.8610,7084.79,904.31
8,10.0107,0.8462,0.8552,0.8373,285.5764,372.7352,28.5272,37.2338,52.8770,7086.68,904.31
9,14.0161,0.8462,0.8552,0.8373,409.9396,478.8288,29.2478,34.1628,44.1650,7081.31,904.31
10,13.0147,0.8462,0.8552,0.8373,371.5744,434.7600,28.5505,33.4054,53.0220,7086.28,904.31
Average,9.6110,0.8462,0.8552,0.8373,278.2615,375.9908,29.0285,40.5268,52.1829,7099.51,903.60
