Run,Runtime (s),F1 Score (bipartite contains rule),Precision,Recall,CPU Energy (J),GPU Energy (J),"CPU Power (avg, W)","GPU Power (avg, W)","GPU Power (max, W)","CPU RAM (avg, MB)","GPU VRAM (avg, MB)"
1,16.0212,0.8474,0.8596,0.8355,474.3657,493.4327,29.6086,30.7987,35.1880,6450.87,973.19
2,15.0176,0.8474,0.8596,0.8355,457.3400,487.0481,30.4536,32.4318,36.0000,6455.42,1060.31
3,16.0188,0.8474,0.8596,0.8355,498.2747,511.9771,31.1056,31.9610,36.2110,6555.11,1060.31
4,15.0206,0.8474,0.8596,0.8355,451.2687,488.5129,30.0434,32.5230,36.5490,6572.95,1060.31
5,15.0174,0.8474,0.8596,0.8355,451.6002,491.6231,30.0718,32.7369,36.8950,6572.79,1060.31
6,15.0182,0.8474,0.8596,0.8355,453.0867,486.5302,30.1691,32.3959,36.2730,6573.14,1060.31
7,15.0157,0.8474,0.8596,0.8355,452.0663,488.5084,30.1062,32.5331,36.5510,6573.80,1060.31
8,15.0178,0.8474,0.8596,0.8355,455.3737,496.3750,30.3223,33.0524,37.0500,6579.43,1060.31
9,15.0196,0.8474,0.8596,0.8355,459.0525,503.0511,30.5635,33.4929,37.0080,6569.92,1060.31
10,15.0180,0.8474,0.8596,0.8355,464.8217,510.0061,30.9511,33.9597,37.0770,6572.98,1060.31
Average,15.2185,0.8474,0.8596,0.8355,461.7250,495.7065,30.3395,32.5885,36.4802,6547.64,1051.60
