Run,Runtime (s),F1 Score (bipartite contains rule),Precision,Recall,CPU Energy (J),GPU Energy (J),"CPU Power (avg, W)","GPU Power (avg, W)","GPU Power (max, W)","CPU RAM (avg, MB)","GPU VRAM (avg, MB)"
1,36.0473,0.8728,0.9884,0.7814,1183.8270,3142.8363,32.8410,87.1865,101.1150,7187.30,4622.03
2,36.1712,0.8728,0.9884,0.7814,1176.5722,3183.2410,32.5278,88.0048,104.7750,7147.71,5718.31
3,36.0698,0.8728,0.9884,0.7814,1180.5095,3187.8221,32.7285,88.3793,103.5970,7150.66,5718.31
4,36.0672,0.8728,0.9884,0.7814,1179.5571,3179.5189,32.7044,88.1553,101.2370,7120.39,5718.31
5,36.0597,0.8728,0.9884,0.7814,1177.9649,3195.0228,32.6671,88.6037,102.0570,7116.28,5718.31
6,36.0716,0.8728,0.9884,0.7814,1184.3997,3177.0131,32.8347,88.0753,104.2960,7113.33,5718.31
7,36.0505,0.8728,0.9884,0.7814,1177.2455,3174.8661,32.6555,88.0673,102.4750,7110.77,5718.31
8,36.0518,0.8728,0.9884,0.7814,1170.8390,3197.6195,32.4766,88.6951,101.6570,7116.99,5718.31
9,36.0485,0.8728,0.9884,0.7814,1182.1627,3177.5089,32.7937,88.1454,101.8360,7134.34,5718.31
10,36.0578,0.8728,0.9884,0.7814,1172.8653,3193.9905,32.5274,88.5798,102.5690,7136.51,5718.31
Average,36.0695,0.8728,0.9884,0.7814,1178.5943,3180.9439,32.6757,88.1892,102.5614,7133.43,5608.68
