Run,Runtime (s),F1 Score (bipartite contains rule),Precision,Recall,CPU Energy (J),GPU Energy (J),"CPU Power (avg, W)","GPU Power (avg, W)","GPU Power (max, W)","CPU RAM (avg, MB)","GPU VRAM (avg, MB)"
1,165.9704,0.9026,0.9864,0.8319,5582.1832,12095.7355,33.6336,72.8789,111.6380,7098.65,4785.19
2,163.6678,0.9026,0.9864,0.8319,5540.3636,12177.7929,33.8513,74.4056,115.0180,7136.05,5142.31
3,162.8182,0.9026,0.9864,0.8319,5537.3979,12138.5281,34.0097,74.5526,113.0370,7132.14,5142.31
4,163.5788,0.9026,0.9864,0.8319,5519.5207,12175.8964,33.7423,74.4344,111.6970,7132.68,5142.31
5,163.6240,0.9026,0.9864,0.8319,5539.4192,12202.5230,33.8546,74.5766,113.1210,7153.07,5142.31
6,165.3326,0.9026,0.9864,0.8319,5547.5719,12239.4519,33.5540,74.0293,114.4600,7164.72,5142.31
7,166.8159,0.9026,0.9864,0.8319,5620.6485,12267.5753,33.6937,73.5396,110.9800,7203.13,5142.31
8,166.4408,0.9026,0.9864,0.8319,5609.4823,12293.6080,33.7026,73.8617,111.8260,7211.32,5142.31
9,167.7068,0.9026,0.9864,0.8319,5628.7271,12311.2998,33.5629,73.4097,111.0560,7248.22,5142.31
10,168.7485,0.9026,0.9864,0.8319,5701.5063,12359.8910,33.7870,73.2445,113.0000,7251.44,5142.31
Average,165.4704,0.9026,0.9864,0.8319,5582.6821,12226.2302,33.7392,73.8933,112.5833,7173.14,5106.60
