Run,Runtime (s),F1 Score (bipartite contains rule),Precision,Recall,CPU Energy (J),GPU Energy (J),"CPU Power (avg, W)","GPU Power (avg, W)","GPU Power (max, W)","CPU RAM (avg, MB)","GPU VRAM (avg, MB)"
1,9.0097,0.9755,0.9799,0.9711,264.0257,357.8697,29.3045,39.7204,52.4130,7238.77,893.87
2,12.0139,0.9755,0.9799,0.9711,333.6895,433.1557,27.7754,36.0547,50.8110,7190.07,898.31
3,11.0134,0.9755,0.9799,0.9711,306.5977,380.5543,27.8386,34.5537,53.0300,7161.84,898.31
4,7.0089,0.9755,0.9799,0.9711,200.4568,309.1244,28.6004,44.1047,53.5980,7154.47,898.31
5,13.0141,0.9755,0.9799,0.9711,374.5468,436.2485,28.7802,33.5213,52.1650,7153.96,898.31
6,7.0078,0.9755,0.9799,0.9711,203.2358,320.0658,29.0014,45.6728,52.8270,7154.56,898.31
7,15.0156,0.9755,0.9799,0.9711,427.7895,485.9095,28.4896,32.3603,36.2690,7151.99,898.31
8,10.0131,0.9755,0.9799,0.9711,282.5858,364.8505,28.2215,36.4372,52.9570,7150.10,898.31
9,7.0081,0.9755,0.9799,0.9711,212.5311,337.3021,30.3264,48.1302,53.7370,7152.73,898.31
10,15.0162,0.9755,0.9799,0.9711,430.1447,489.8931,28.6454,32.6243,34.7050,7153.62,898.31
Average,10.6121,0.9755,0.9799,0.9711,303.5603,391.4974,28.6983,38.3180,49.2512,7166.21,897.87
