Run,Runtime (s),F1 Score (bipartite contains rule),Precision,Recall,CPU Energy (J),GPU Energy (J),"CPU Power (avg, W)","GPU Power (avg, W)","GPU Power (max, W)","CPU RAM (avg, MB)","GPU VRAM (avg, MB)"
1,17.0198,0.9765,0.9790,0.9741,538.3279,507.8495,31.6295,29.8387,34.2320,7224.00,1048.43
2,17.0202,0.9765,0.9790,0.9741,548.5041,516.4970,32.2266,30.3461,32.8640,7137.98,1080.31
3,16.0204,0.9765,0.9790,0.9741,504.4267,499.6849,31.4865,31.1905,35.1140,7135.55,1080.31
4,16.0178,0.9765,0.9790,0.9741,479.5778,500.0690,29.9404,31.2196,34.1600,7117.56,1080.31
5,16.0196,0.9765,0.9790,0.9741,478.9439,491.7878,29.8973,30.6991,35.1010,7107.05,1080.31
6,17.0294,0.9765,0.9790,0.9741,515.6980,506.9637,30.2828,29.7699,34.9360,7120.27,1080.31
7,17.0196,0.9765,0.9790,0.9741,527.7396,507.1379,31.0077,29.7973,35.5350,7127.51,1080.31
8,16.0192,0.9765,0.9790,0.9741,496.7232,497.5435,31.0080,31.0592,34.6350,7120.62,1080.31
9,17.0197,0.9765,0.9790,0.9741,528.8691,518.1418,31.0739,30.4436,34.6300,7137.43,1080.31
10,16.0197,0.9765,0.9790,0.9741,506.8663,506.3807,31.6402,31.6099,34.9600,7142.84,1080.31
Average,16.5205,0.9765,0.9790,0.9741,512.5677,505.2056,31.0193,30.5974,34.6167,7137.08,1077.12
