Run,Runtime (s),F1 Score (bipartite contains rule),Precision,Recall,CPU Energy (J),GPU Energy (J),CPU Power Avg (W),GPU Power Avg (W),GPU Max Power (W),CPU Memory Avg (MB),GPU Memory Avg (MB)
1,460.5073,0.9038,0.9534,0.8591,15335.6971,30258.4632,33.3017,65.7068,75.8170,10838.68,2487.52
2,458.5079,0.9038,0.9534,0.8591,15380.0802,30372.5461,33.5438,66.2421,76.5010,10969.16,2668.38
3,458.5211,0.9038,0.9534,0.8591,15366.7213,30350.0608,33.5137,66.1912,76.1700,10981.90,2668.38
4,458.5066,0.9038,0.9534,0.8591,15367.0358,30399.0938,33.5154,66.3002,76.2640,10983.96,2668.38
5,458.5294,0.9038,0.9534,0.8591,15363.7727,30367.9382,33.5066,66.2290,76.5980,10995.35,2668.38
6,458.5389,0.9038,0.9534,0.8591,15385.4900,30452.7756,33.5533,66.4126,76.9800,10998.43,2668.38
7,458.5498,0.9038,0.9534,0.8591,15381.2183,30402.1807,33.5432,66.3007,76.1440,11007.60,2668.38
8,458.5272,0.9038,0.9534,0.8591,10051.5721,30384.1302,21.9214,66.2646,76.4930,11003.31,2668.38
9,458.5296,0.9038,0.9534,0.8591,15436.6917,30469.9330,33.6656,66.4514,76.6780,10996.08,2668.38
10,458.5273,0.9038,0.9534,0.8591,15417.9446,30418.3713,33.6249,66.3393,76.1390,11001.90,2668.38
Average,458.7245,0.9038,0.9534,0.8591,14848.6224,30387.5493,32.3690,66.2438,76.3784,10977.64,2650.29
