Run,Runtime (s),F1 Score (bipartite contains rule),Precision,Recall,CPU Energy (J),GPU Energy (J),CPU Power Avg (W),GPU Power Avg (W),GPU Max Power (W),CPU Memory Avg (MB),GPU Memory Avg (MB)
1,610.1311,0.7854,0.9151,0.6880,20827.8463,42001.6644,34.1367,68.8404,82.9930,11234.64,6269.36
2,608.1553,0.7854,0.9151,0.6880,20833.9580,42168.3012,34.2576,69.3380,82.7980,11285.19,7606.38
3,608.5986,0.7854,0.9151,0.6880,20782.1916,42194.5862,34.1476,69.3307,83.1260,11286.91,7606.38
4,608.1099,0.7854,0.9151,0.6880,10522.3469,42149.4796,17.3034,69.3123,83.2540,11298.71,7606.38
5,607.2923,0.7854,0.9151,0.6880,20750.5404,42061.5677,34.1690,69.2608,83.0040,11300.52,7606.38
6,608.3354,0.7854,0.9151,0.6880,20824.8478,42219.4533,34.2325,69.4016,83.3620,11308.55,7606.38
7,609.0272,0.7854,0.9151,0.6880,20854.9642,42265.5958,34.2431,69.3985,83.9260,11320.88,7606.38
8,607.9022,0.7854,0.9151,0.6880,20806.1732,42120.9694,34.2262,69.2891,83.5560,11298.92,7606.38
9,608.5613,0.7854,0.9151,0.6880,20805.7252,42138.7465,34.1884,69.2432,82.8400,11296.27,7606.38
10,607.9585,0.7854,0.9151,0.6880,20788.2530,42118.2748,34.1935,69.2782,83.3380,11306.70,7606.38
Average,608.4072,0.7854,0.9151,0.6880,19779.6847,42143.8639,32.5098,69.2693,83.2197,11293.73,7472.67
