Run,Runtime (s),F1 Score (bipartite contains rule),Precision,Recall,CPU Energy (J),GPU Energy (J),"CPU Power (avg, W)","GPU Power (avg, W)","GPU Power (max, W)","CPU RAM (avg, MB)","GPU VRAM (avg, MB)"
1,427.4811,0.9751,0.9760,0.9741,14341.0253,28370.6803,33.5477,66.3671,67.3730,10345.24,2202.71
2,426.4927,0.9751,0.9760,0.9741,14358.4280,28274.4318,33.6663,66.2952,67.0700,10444.71,2224.31
3,426.4976,0.9751,0.9760,0.9741,14361.2646,28254.1301,33.6726,66.2469,67.1980,10405.74,2224.31
4,426.4687,0.9751,0.9760,0.9741,14372.3909,28287.4263,33.7009,66.3294,67.2350,10419.51,2224.31
5,426.4623,0.9751,0.9760,0.9741,4264.1159,28256.9714,9.9988,66.2590,67.1500,10418.60,2224.31
6,426.5021,0.9751,0.9760,0.9741,14373.6551,28261.4635,33.7013,66.2634,67.0750,10415.58,2224.31
7,426.4795,0.9751,0.9760,0.9741,14351.0187,28226.2513,33.6500,66.1843,67.0940,10425.69,2224.31
8,426.4844,0.9751,0.9760,0.9741,14364.2800,28268.3951,33.6807,66.2824,67.0440,10412.21,2224.31
9,426.4966,0.9751,0.9760,0.9741,14322.2274,28215.2824,33.5811,66.1559,66.6830,10418.81,2224.31
10,426.4922,0.9751,0.9760,0.9741,14369.9245,28273.1825,33.6933,66.2924,67.2210,10417.16,2224.31
Average,426.5857,0.9751,0.9760,0.9741,13347.8330,28268.8215,31.2893,66.2676,67.1143,10412.32,2222.15
