Run,Runtime (s),F1 Score (bipartite contains rule),Precision,Recall,CPU Energy (J),GPU Energy (J),CPU Power Avg (W),GPU Power Avg (W),GPU Max Power (W),CPU Memory Avg (MB),GPU Memory Avg (MB)
1,433.4922,0.9714,0.9778,0.9651,14542.1755,28447.1636,33.5466,65.6232,70.5770,10302.50,2320.18
2,433.4894,0.9714,0.9778,0.9651,14525.6222,28505.0843,33.5086,65.7573,70.4440,10329.85,2342.31
3,433.4910,0.9714,0.9778,0.9651,14559.3239,28547.0572,33.5862,65.8539,70.6340,10335.73,2342.31
4,433.5015,0.9714,0.9778,0.9651,14531.1886,28487.6409,33.5205,65.7152,70.6970,10318.14,2342.31
5,432.5050,0.9714,0.9778,0.9651,14540.7334,28532.3615,33.6198,65.9700,70.6720,10316.04,2342.31
6,433.4898,0.9714,0.9778,0.9651,14523.9654,28525.3853,33.5047,65.8041,70.6720,10314.51,2342.31
7,432.4741,0.9714,0.9778,0.9651,14554.9343,28540.7987,33.6550,65.9942,71.0250,10318.36,2342.31
8,432.4963,0.9714,0.9778,0.9651,14533.6071,28495.5980,33.6040,65.8863,70.8110,10320.86,2342.31
9,434.4575,0.9714,0.9778,0.9651,14656.5311,28592.3645,33.7352,65.8116,70.8020,10199.35,2342.31
10,434.5081,0.9714,0.9778,0.9651,14603.0656,28633.5264,33.6083,65.8987,70.7140,10314.00,2342.31
Average,433.3905,0.9714,0.9778,0.9651,14557.1147,28530.6981,33.5889,65.8315,70.7048,10306.93,2340.10
